pointid,sample_order,batch,regio,area_prop_sb,openheid_klasse,sbp,x_coord,y_coord,crs
Km_58706.8,380,eerste set,Kempen,0,HOL,binnen,197856.565932968,236986.336704454,31370
Km_59301.1,529,eerste set,Kempen,0.0263944294667059,HOL,binnen,225749.667948509,197070.242715034,31370
Km_59545,214,eerste set,Kempen,0,HOL,binnen,244481.151745339,191745.605337232,31370
Km_60438.1.3,461,eerste set,Kempen,0,HOL,binnen,208262.053531601,216595.860094191,31370
Km_61447,82,eerste set,Kempen,0,HOL,binnen,229852.735328876,196571.927961575,31370
Km_62042.25,49,eerste set,Kempen,0,HOL,binnen,239025.792685844,205728.8135121,31370
Km_62065.26,230,eerste set,Kempen,0,HOL,binnen,188921.418858248,230035.772751868,31370
Km_6255,488,eerste set,Kempen,0,HOL,binnen,172719.248404721,203007.523559989,31370
Km_6367.7,373,eerste set,Kempen,0,HOL,binnen,223360.486725443,215461.164482476,31370
Km_64020.22,78,eerste set,Kempen,0,HOL,binnen,199180.274251747,233966.291889439,31370
Km_65246,366,eerste set,Kempen,0,HOL,binnen,211123.685919984,194675.491007822,31370
Km_653.29,425,eerste set,Kempen,0,HOL,binnen,199486.90635054,237213.812787115,31370
Km_65520.5,169,eerste set,Kempen,0,HOL,binnen,202008.605332853,224430.451568294,31370
Km_6564.14,386,eerste set,Kempen,0,HOL,binnen,158932.892215037,233552.788901508,31370
